O'CONNOR,O'Connor Cooperative School,Black Mountain School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,,,
COONABARABRAN,Warrumbungle National Park Environmental Education Centre,Coonabarabran Public School,Coonabarabran High School,St Lawrence's Catholic Primary School,,,,,,,,,,,,,,,,,,,,
SHORTLAND,Wetlands Environmental Education Centre,Shortland Public School,Our Lady of Victories Primary School,Margaret Jurd College,,,,,,,,,,,,,,,,,,,,
OAKDALE,Wooglemai Environmental Education Centre,Oakdale Public School,,,,,,,,,,,,,,,,,,,,,,
WOODBERRY,Woodberry Learning Centre,Woodberry Public School,,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD,Warakirri College,Fairfield Public School,Fairfield Heights Public School,Fairvale Public School,Fairfield High School,Our Lady of the Rosary Catholic Primary School,Patrician Brothers' College Fairfield,,,,,,,,,,,,,,,,,
TELARAH,Hunter Trade College,,,,,,,,,,,,,,,,,,,,,,,
KOGARAH,St George Hospital School,Kogarah Public School,St George School,St George Girls High School,Moorefield Girls High School,Kogarah High School,James Cook Boys High School,St Patrick's Catholic Primary School,,,,,,,,,,,,,,,,
CARINGBAH,Sutherland Hospital School,Caringbah Public School,Caringbah North Public School,Laguna Street Public School,Caringbah High School,Endeavour Sports High School,Our Lady of Fatima Catholic Primary School,"De La Salle Catholic College, Caringbah",,,,,,,,,,,,,,,,
WOLLONGONG,Illawarra Hospital School,Wollongong West Public School,Mount St Thomas Public School,Wollongong Public School,Lindsay Park Public School,Smiths Hill High School,St Mary Star of the Sea College,ALESCO Illawarra,,,,,,,,,,,,,,,,
LIVERPOOL,Liverpool Hospital School,Liverpool West Public School,Marsden Road Public School,Mainsbridge School,Liverpool Public School,Liverpool Girls High School,Liverpool Boys High School,All Saints Catholic Primary School,All Saints Catholic College,Al Amanah College,,,,,,,,,,,,,,
AUBURN,Sydney Adventist School Auburn,Auburn North Public School,Auburn West Public School,Auburn Public School,Auburn Girls High School,St John's Catholic Primary School,Trinity Catholic College,Al-Faisal College,Amity College Auburn Campus,Alpha Omega Senior College,"Aspect South East Sydney School, Auburn",,,,,,,,,,,,,
GLENWOOD,Trades Norwest Anglican Senior College,Parklea Public School,Caddies Creek Public School,Glenwood High School,Holy Cross Primary School,,,,,,,,,,,,,,,,,,,
TWEED HEADS SOUTH,Pacific Coast Christian School,"Lindisfarne Anglican Grammar School, Junior School",Tweed Heads South Public School,Caldera School,Tweed River High School,Pacific Hope School,,,,,,,,,,,,,,,,,,
KELLYVILLE,Our Lady of the Angels Primary School,Kellyville Public School,Sherwood Ridge Public School,Tallowood School,Kellyville High School,Our Lady of the Rosary Primary School,William Clarke College,"M.E.T. School, Kellyville campus",Hills Adventist College,"Australian International Academy, Kellyville Campus",,,,,,,,,,,,,,
LINDFIELD WEST,Lindfield Montessori Preschool,,,,,,,,,,,,,,,,,,,,,,,
