DARLING SOUTH,The Currajong School,,,,,,,,,,,,,,,,,,,,,,
WOORAGEE,Wooragee Primary School,,,,,,,,,,,,,,,,,,,,,,
WALLAN,Wallan Primary School,Wallan Secondary College,,,,,,,,,,,,,,,,,,,,,
WOOLSTHORPE,Woolsthorpe Primary School,,,,,,,,,,,,,,,,,,,,,,
YANDOIT,Yandoit Primary School,,,,,,,,,,,,,,,,,,,,,,
YARRAM,Yarram Primary School,Yarram Secondary College,St Mary's School,,,,,,,,,,,,,,,,,,,,
LAKE WENDOUREE,Pleasant Street Primary School ( Ballarat),,,,,,,,,,,,,,,,,,,,,,
YEA,Yea Primary School,Yea High School,Sacred Heart School,,,,,,,,,,,,,,,,,,,,
LANCEFIELD,Lancefield Primary School,St Mary's School,,,,,,,,,,,,,,,,,,,,,
COIMADAI,Coimadai Primary School,,,,,,,,,,,,,,,,,,,,,,
BIRREGURRA,Birregurra Primary School,,,,,,,,,,,,,,,,,,,,,,
MILAWA,Milawa Primary School,,,,,,,,,,,,,,,,,,,,,,
LOCKWOOD,Lockwood Primary School,,,,,,,,,,,,,,,,,,,,,,
BEALIBA,Bealiba Primary School,,,,,,,,,,,,,,,,,,,,,,
BAIRNSDALE,Bairnsdale Primary School,Lucknow Primary School,Bairnsdale West Primary School,East Gippsland Specialist School,Bairnsdale Secondary College,St Mary's School,Nagle College,Bairnsdale Christian Community School,Glenvale School - Bairnsdale Centre,Wild Cherry School,Bairnsdale Secondary College-Changing Lanes - VCAL,,,,,,,,,,,,
GORDON,Gordon Primary School,St Patrick's School,,,,,,,,,,,,,,,,,,,,,
HEPBURN,Hepburn Primary School,,,,,,,,,,,,,,,,,,,,,,
LARA,Lara Lake Primary School,Lara Primary School,Lara Secondary College,St Anthony's School,,,,,,,,,,,,,,,,,,,
ROSEDALE,Rosedale Primary School,,,,,,,,,,,,,,,,,,,,,,
BRIGHT,Bright P-12 College,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,Rochester Primary School,Rochester Secondary College,St Joseph's School,,,,,,,,,,,,,,,,,,,,
ARARAT,Ararat Primary School,Ararat West Primary School,Ararat North Primary School,Ararat Secondary College,Marian College,St Mary's School,Ararat Secondary College-School Farm Campus,,,,,,,,,,,,,,,,
JAMIESON,Jamieson Primary School,,,,,,,,,,,,,,,,,,,,,,
