PROSPECT,Prospect Primary School,Blackfriars Priory School,Rosary School,Prescott College,Prospect North Primary School,Prospect High School,St Patrick's College,St Patrick’s College - Croagh Patrick Centre,,,,,,,,,
RAMCO,Ramco Primary School,,,,,,,,,,,,,,,,
RENDELSHAM,Rendelsham Primary School,,,,,,,,,,,,,,,,
RENMARK,Renmark Primary School,Renmark West Primary School,Renmark High School,St Joseph's School,,,,,,,,,,,,,
RENMARK NORTH,Renmark North Primary School,,,,,,,,,,,,,,,,
OLD REYNELLA,Reynella Primary School,,,,,,,,,,,,,,,,
KESWICK,Richmond Primary School,,,,,,,,,,,,,,,,
RIVERTON,Riverton Primary School,Riverton and District High School,,,,,,,,,,,,,,,
ROBE,Robe Primary School,,,,,,,,,,,,,,,,
ROBERTSTOWN,Robertstown Primary School,,,,,,,,,,,,,,,,
ROSEWORTHY,Roseworthy Primary School,,,,,,,,,,,,,,,,
SADDLEWORTH,Saddleworth Primary School,,,,,,,,,,,,,,,,
GLENELG NORTH,St Leonards Primary School,,,,,,,,,,,,,,,,
SALISBURY,Salisbury Primary School,St Augustine's Parish School,,,,,,,,,,,,,,,
COCKATOO VALLEY,Sandy Creek Primary School,,,,,,,,,,,,,,,,
SCOTT CREEK,Scott Creek Primary School,,,,,,,,,,,,,,,,
SEATON,Seaton Park Primary School,Seaton High School,,,,,,,,,,,,,,,
SPALDING,Spalding Primary School,,,,,,,,,,,,,,,,
SPRINGTON,Springton Primary School,,,,,,,,,,,,,,,,
STANSBURY,Stansbury Primary School,,,,,,,,,,,,,,,,
STIRLING,Stirling East Primary School,St Catherine's School,,,,,,,,,,,,,,,
STRATHALBYN,Eastern Fleurieu R-12 School - Strathalbyn R-6 Campus,Eastern Fleurieu R-12 School,Tyndale Christian School Strathalbyn,Eastern Fleurieu R-12 School - Strathalbyn 7-12 Campus,,,,,,,,,,,,,
ATHELSTONE,Athelstone School,Thorndon Park Primary School,Saint Ignatius' College - Senior School Campus,,,,,,,,,,,,,,
SUTTONTOWN,Suttontown Primary School,Compton Primary School,,,,,,,,,,,,,,,
SWAN REACH,Swan Reach Area School,,,,,,,,,,,,,,,,
TAILEM BEND,Tailem Bend Primary School,,,,,,,,,,,,,,,,
AUBURN,Auburn Primary School,,,,,,,,,,,,,,,,
TANTANOOLA,Tantanoola Primary School,,,,,,,,,,,,,,,,
TANUNDA,Tanunda Primary School,Faith Lutheran College,Tanunda Lutheran School,,,,,,,,,,,,,,
TARLEE,Tarlee Primary School,,,,,,,,,,,,,,,,
TEA TREE GULLY,Tea Tree Gully Primary School,Saint David's Parish School,,,,,,,,,,,,,,,
TINTINARA,Tintinara Area School,,,,,,,,,,,,,,,,
TRURO,Truro Primary School,,,,,,,,,,,,,,,,
TWO WELLS,Two Wells Primary School,,,,,,,,,,,,,,,,
UNGARRA,Ungarra Primary School,,,,,,,,,,,,,,,,
UNLEY,Unley Primary School,Saint Spyridon College,,,,,,,,,,,,,,,
UPPER STURT,Upper Sturt Primary School,,,,,,,,,,,,,,,,
URAIDLA,Uraidla Primary School,,,,,,,,,,,,,,,,
VICTOR HARBOR,Victor Harbor R-7 School,Victor Harbor High School,Encounter Lutheran College,Investigator College - Victor Harbor Campus,,,,,,,,,,,,,
VIRGINIA,Virginia Primary School,,,,,,,,,,,,,,,,
WAIKERIE,Waikerie Primary School,Waikerie High School,Waikerie Lutheran Primary School,,,,,,,,,,,,,,
WALKERVILLE,Walkerville Primary School,St Monica's Parish School,St Andrew's School,St Andrew's School - 19-21 Smith Street Campus,,,,,,,,,,,,,
WALLAROO,Wallaroo Primary School,St Mary MacKillop School,,,,,,,,,,,,,,,
KADINA,Wallaroo Mines Primary School,Kadina Memorial School,Harvest Christian College,,,,,,,,,,,,,,
WAROOKA,Warooka Primary School,,,,,,,,,,,,,,,,
WASLEYS,Wasleys Primary School,,,,,,,,,,,,,,,,
WATERVALE,Watervale Primary School,,,,,,,,,,,,,,,,
ALLENBY GARDENS,Allenby Gardens Primary School,,,,,,,,,,,,,,,,
TRINITY GARDENS,Trinity Gardens School,,,,,,,,,,,,,,,,
WESTBOURNE PARK,Westbourne Park Primary School,,,,,,,,,,,,,,,,
MUNNO PARA WEST,Adelaide North Special School,Mark Oliphant College (B-12),,,,,,,,,,,,,,,
